,age,postcode,salary
0,54,02139,106477
1,26,02108,72441
2,47,02128,73653
3,31,02114,93532
4,30,02114,113389
5,20,02108,124937
6,57,02128,98272
7,50,02114,94021
8,51,02125,134607
9,43,02125,144559
10,33,02139,101155
11,49,02139,92983
12,43,02108,164660
13,24,02114,155998
14,55,02128,143594
15,29,02108,128106
16,54,02114,112167
17,29,02108,92610
18,44,02128,123605
19,41,02114,154863
20,46,02108,177679
21,57,02108,173525
22,37,02139,107767
23,35,02114,179846
24,59,02108,72042
25,27,02139,105973
26,22,02128,80067
27,43,02139,135785
28,37,02139,172194
29,27,02128,179371
30,36,02108,150579
31,54,02114,100319
32,51,02139,84020
33,28,02108,84025
34,34,02114,175838
35,49,02128,87005
36,26,02114,76205
37,54,02139,132199
38,52,02108,167648
39,21,02139,114700
40,53,02108,111420
41,39,02108,108438
42,58,02128,176149
43,25,02108,103456
44,21,02139,87722
45,56,02108,79962
46,55,02128,90448
47,45,02128,168892
48,38,02128,78425
49,33,02114,86977
50,50,02114,79951
51,45,02108,71485
52,32,02139,111616
53,49,02108,168880
54,34,02139,140744
55,51,02139,139170
56,23,02114,138131
57,39,02114,148649
58,43,02128,134634
59,34,02128,131700
60,24,02108,112951
61,57,02128,135228
62,40,02139,132037
63,42,02114,116344
64,46,02108,87534
65,59,02108,162830
66,23,02139,175129
67,36,02108,158257
68,40,02128,94026
69,24,02139,88850
70,36,02139,160361
71,58,02114,172345
72,28,02108,79165
73,56,02139,159414
74,54,02128,103349
75,56,02114,108137
76,26,02108,104788
77,41,02108,144938
78,46,02139,110987
79,50,02128,122199
80,48,02139,123545
81,48,02128,147730
82,29,02108,132312
83,31,02114,156893
84,33,02139,101987
85,30,02114,139965
86,58,02108,77321
87,39,02114,161730
88,32,02128,132101
89,26,02139,70937
90,29,02114,147798
91,59,02114,117527
92,55,02108,75895
93,58,02139,80460
94,23,02108,144006
95,26,02128,179527
96,44,02128,104512
97,22,02114,130877
98,29,02139,162701
99,39,02139,177369
